source,loc.correct,country_code,NAME_0,NAME_1,NAME_2,NAME_3
gadm,argentina_la pampa,AR,Argentina,La Pampa,NA,NA
gadm,argentina_la pampa_atreuco,AR,Argentina,La Pampa,Atreucó,NA
gadm,argentina_la pampa_caleu caleu,AR,Argentina,La Pampa,Caleu Caleu,NA
gadm,argentina_la pampa_capital,AR,Argentina,La Pampa,Capital,NA
gadm,argentina_la pampa_catrilo,AR,Argentina,La Pampa,Catriló,NA
gadm,argentina_la pampa_chalileo,AR,Argentina,La Pampa,Chalileo,NA
gadm,argentina_la pampa_chapaleufu,AR,Argentina,La Pampa,Chapaleufú,NA
gadm,argentina_la pampa_chical co,AR,Argentina,La Pampa,Chical Có,NA
gadm,argentina_la pampa_conhelo,AR,Argentina,La Pampa,Conhelo,NA
gadm,argentina_la pampa_curaco,AR,Argentina,La Pampa,Curacó,NA
gadm,argentina_la pampa_guatrache,AR,Argentina,La Pampa,Guatraché,NA
gadm,argentina_la pampa_hucal,AR,Argentina,La Pampa,Hucal,NA
gadm,argentina_la pampa_lihuel calel,AR,Argentina,La Pampa,Lihuel Calel,NA
gadm,argentina_la pampa_limay mahuida,AR,Argentina,La Pampa,Limay Mahuida,NA
gadm,argentina_la pampa_loventue,AR,Argentina,La Pampa,Loventué,NA
gadm,argentina_la pampa_maraco,AR,Argentina,La Pampa,Maracó,NA
